[129/500] wait=True freq=0.58Hz amp=21.5deg Kp=39.3 Kd=8.1 fx=-0.009 fy=-0.019 | fell=False dist=0.39m CoT=1.336 settle_t=0.300s | skipped
[130/500] wait=False freq=0.58Hz amp=21.5deg Kp=39.3 Kd=8.1 fx=-0.009 fy=-0.019 | fell=False dist=0.34m CoT=1.527 settle_t=0.000s | skipped
[131/500] wait=True freq=0.40Hz amp=37.4deg Kp=32.8 Kd=14.1 fx=0.011 fy=-0.017 | fell=True dist=0.49m CoT=1.136 settle_t=0.300s | skipped
[132/500] wait=False freq=0.40Hz amp=37.4deg Kp=32.8 Kd=14.1 fx=0.011 fy=-0.017 | fell=True dist=1.15m CoT=0.473 settle_t=0.000s | skipped
[133/500] wait=True freq=0.44Hz amp=27.8deg Kp=42.6 Kd=9.6 fx=-0.002 fy=-0.017 | fell=True dist=0.97m CoT=0.304 settle_t=0.300s | skipped
[134/500] wait=False freq=0.44Hz amp=27.8deg Kp=42.6 Kd=9.6 fx=-0.002 fy=-0.017 | fell=True dist=0.41m CoT=0.676 settle_t=0.000s | skipped
[135/500] wait=True freq=0.43Hz amp=37.5deg Kp=35.9 Kd=13.5 fx=-0.019 fy=0.000 | fell=False dist=0.42m CoT=3.673 settle_t=0.300s | skipped
[136/500] wait=False freq=0.43Hz amp=37.5deg Kp=35.9 Kd=13.5 fx=-0.019 fy=0.000 | fell=True dist=0.61m CoT=0.265 settle_t=0.000s | skipped
[137/500] wait=True freq=0.65Hz amp=39.6deg Kp=29.1 Kd=13.9 fx=0.003 fy=0.010 | fell=False dist=0.37m CoT=1.691 settle_t=0.300s | skipped
[138/500] wait=False freq=0.65Hz amp=39.6deg Kp=29.1 Kd=13.9 fx=0.003 fy=0.010 | fell=False dist=0.32m CoT=2.197 settle_t=0.000s | skipped
[139/500] wait=True freq=0.72Hz amp=32.2deg Kp=29.1 Kd=9.0 fx=-0.010 fy=0.004 | fell=False dist=0.10m CoT=6.009 settle_t=0.300s | skipped
[140/500] wait=False freq=0.72Hz amp=32.2deg Kp=29.1 Kd=9.0 fx=-0.010 fy=0.004 | fell=False dist=0.13m CoT=4.532 settle_t=0.000s | skipped
[141/500] wait=True freq=0.42Hz amp=36.9deg Kp=33.5 Kd=8.8 fx=0.012 fy=-0.015 | fell=True dist=1.09m CoT=0.285 settle_t=0.300s | skipped
[142/500] wait=False freq=0.42Hz amp=36.9deg Kp=33.5 Kd=8.8 fx=0.012 fy=-0.015 | fell=True dist=0.67m CoT=0.263 settle_t=0.000s | skipped
[143/500] wait=True freq=0.71Hz amp=20.8deg Kp=44.9 Kd=7.0 fx=-0.033 fy=-0.003 | fell=False dist=0.14m CoT=4.715 settle_t=0.300s | skipped
[144/500] wait=False freq=0.71Hz amp=20.8deg Kp=44.9 Kd=7.0 fx=-0.033 fy=-0.003 | fell=False dist=0.26m CoT=2.724 settle_t=0.000s | skipped
[145/500] wait=True freq=0.71Hz amp=21.0deg Kp=44.5 Kd=8.5 fx=-0.061 fy=-0.004 | fell=False dist=0.14m CoT=9.052 settle_t=0.300s | skipped
[146/500] wait=False freq=0.71Hz amp=21.0deg Kp=44.5 Kd=8.5 fx=-0.061 fy=-0.004 | fell=True dist=0.78m CoT=1.623 settle_t=0.000s | skipped
[147/500] wait=True freq=0.46Hz amp=32.3deg Kp=29.9 Kd=14.1 fx=0.023 fy=-0.001 | fell=True dist=1.71m CoT=0.307 settle_t=0.300s | skipped
