Foot_X,Foot_Y,Kp,Kd,Start_Amp_Mult,Start_Freq_Mult,Amplitude_Deg,Frequency_Hz,Fell,Distance_Traversed,CoT
-0.0626,-0.0166,27.74,7.35,1.634,1.092,38.56,0.753,True,0.6841,0.633
0.004,-0.0027,28.03,5.16,1.293,0.742,37.59,0.56,False,0.044,9.7159
-0.0197,-0.0005,25.77,4.81,1.011,0.76,30.22,0.632,False,0.1338,2.7922
0.0195,0.0083,31.32,2.14,1.642,1.323,22.96,0.598,False,0.0749,1.3981
-0.0454,-0.0156,24.05,3.98,1.143,0.788,25.84,0.633,False,0.2189,1.55
-0.0507,-0.0109,31.88,11.78,1.183,1.061,30.36,0.772,True,0.886,0.4372
0.0049,0.008,32.39,10.36,1.464,0.785,39.37,0.527,False,0.329,2.6492
-0.017,-0.0009,37.61,11.29,1.52,1.035,24.58,0.677,False,0.0976,8.5544
0.0126,-0.0142,34.33,11.71,0.984,1.39,38.72,0.485,True,0.637,0.7386
-0.0179,0.0089,40.83,2.7,1.062,1.28,34.86,0.791,False,0.0672,12.9478
-0.0122,0.0048,39.93,2.84,0.905,0.983,31.29,0.489,False,0.3556,2.73
-0.0131,0.0049,33.18,5.2,0.902,0.808,32.18,0.523,False,0.3518,2.1412
-0.0046,0.0027,40.48,14.08,1.256,0.757,30.79,0.611,False,0.1785,5.3373
0.0138,0.0088,26.41,12.2,1.368,0.867,21.83,0.755,False,0.1951,1.6719
-0.0397,0.0002,33.75,10.12,1.202,1.162,28.19,0.474,False,0.2672,4.3749
-0.0592,-0.0028,29.58,14.92,1.577,1.317,36.36,0.619,True,0.7171,0.6619
0.013,-0.0079,22.22,13.1,1.398,1.088,21.94,0.402,False,0.1387,0.9342
0.0208,0.0097,32.95,6.7,1.592,1.335,34.61,0.725,False,0.101,3.8423
-0.0286,-0.0015,43.88,3.78,1.429,1.285,34.81,0.59,True,0.6129,1.2332
-0.0308,-0.0024,21.64,6.65,0.817,0.998,25.3,0.402,False,0.5103,0.599
-0.0562,0.0099,31.47,2.09,1.114,1.287,24.34,0.443,False,0.6655,1.1859
0.0241,0.002,34.2,6.13,1.313,1.121,39.23,0.746,False,0.2544,1.3408
-0.0071,0.0083,33.71,4.22,0.886,1.192,39.89,0.444,False,0.27,3.2931
0.0244,-0.0194,39.5,13.38,1.17,1.14,39.78,0.794,True,0.7568,0.0008
0.0216,-0.0147,40.24,4.0,1.545,1.044,25.44,0.515,True,0.8238,0.0964
-0.0685,-0.0118,21.29,6.38,1.427,1.291,31.92,0.637,False,0.1653,5.8745
-0.0338,0.0005,38.73,7.19,0.812,0.99,25.03,0.613,False,0.1643,5.7788
-0.0245,-0.0175,31.94,7.73,1.58,0.967,34.74,0.778,True,0.8298,0.3755
-0.0511,-0.0186,27.78,9.13,1.133,0.971,21.88,0.747,True,0.7147,0.2451
-0.0477,0.0012,34.82,8.0,1.04,0.868,22.69,0.598,False,0.307,2.6164
-0.0235,-0.0036,24.77,9.76,0.834,1.076,32.22,0.749,False,0.1496,6.8051
-0.0225,-0.0101,40.69,3.04,0.954,1.364,23.31,0.408,False,0.3984,1.7199
0.0096,0.0042,33.89,8.96,1.269,0.866,28.58,0.5,False,0.1407,2.6728
0.0222,-0.009,33.37,8.34,0.928,0.825,36.82,0.699,False,0.1639,2.1988
-0.0556,-0.0141,38.62,13.02,0.996,1.219,31.94,0.643,True,0.6664,0.6513
-0.0517,0.0062,42.61,9.98,1.583,1.126,36.28,0.682,True,0.547,1.3021
-0.0654,-0.0092,23.37,13.81,0.832,1.361,31.83,0.437,True,0.7615,0.2651
-0.0358,0.0069,43.97,12.03,0.867,0.922,20.25,0.651,False,0.239,3.9634
0.0011,-0.0119,37.57,8.15,1.287,0.708,27.98,0.759,False,0.1039,4.7928
0.0249,0.0087,26.0,8.59,0.859,0.744,30.58,0.549,False,0.2964,0.8793
-0.0165,-0.0153,32.62,7.22,1.44,1.352,39.71,0.516,True,0.7695,0.2954
-0.05,-0.0034,30.94,7.41,1.508,1.184,25.9,0.601,False,0.4537,2.1964
-0.0642,0.01,44.32,8.13,1.336,1.377,29.64,0.715,False,0.1191,18.9465
-0.0468,0.0006,37.19,12.38,1.08,1.007,30.0,0.678,True,0.811,0.7013
-0.0664,-0.0148,20.81,5.26,1.479,0.951,34.05,0.706,False,0.2076,4.9778
-0.0628,-0.0113,42.19,3.0,1.109,1.218,23.36,0.631,True,0.8328,0.4
-0.0158,-0.0184,20.47,11.63,1.288,1.299,31.77,0.459,False,0.2584,2.7217
0.0182,-0.006,26.39,5.89,1.752,1.15,35.36,0.499,False,0.1496,1.8093
-0.005,-0.0183,40.62,7.3,1.487,0.92,37.85,0.48,True,0.8053,0.1627
-0.0407,-0.0139,26.23,14.04,0.854,1.196,25.2,0.586,True,0.6827,0.3477
-0.0244,-0.0022,44.81,3.36,1.296,0.847,38.07,0.405,True,0.388,0.6238
-0.0604,0.0046,43.76,10.27,1.68,1.263,35.83,0.457,True,0.6913,0.6914
-0.0129,-0.0181,30.74,10.49,1.329,1.359,29.29,0.741,True,1.4083,0.3912
-0.0248,0.0092,33.07,14.71,1.082,0.96,25.61,0.471,False,0.1762,5.2022
-0.046,-0.0174,21.96,9.2,0.916,0.768,30.03,0.644,False,0.2404,4.1829
-0.056,-0.0049,35.47,6.48,1.595,0.73,31.32,0.572,True,0.8807,0.6091
0.0184,0.0081,32.2,4.09,1.744,1.354,24.88,0.53,False,0.1323,1.1174
-0.0273,-0.0017,22.14,7.1,1.373,1.321,21.0,0.63,False,0.0712,3.0681
-0.0029,0.0044,27.58,13.92,1.13,1.118,29.41,0.466,False,0.4263,1.6804
-0.0033,-0.0155,24.51,12.95,1.399,1.067,26.17,0.439,False,0.2365,2.1514
0.0046,-0.0114,32.78,13.28,1.551,1.34,38.77,0.446,True,0.1936,1.4509
-0.0413,-0.0136,36.68,12.54,1.391,0.814,34.4,0.478,True,0.5841,0.8053
0.024,0.0027,28.6,8.67,1.016,1.036,33.93,0.659,False,0.3484,0.953
0.0079,0.005,29.47,12.3,0.961,1.006,22.79,0.777,False,0.2404,1.6483
-0.0029,-0.0179,38.57,6.45,1.17,1.363,27.34,0.464,True,0.8019,0.0456
-0.0645,-0.0022,29.32,12.08,0.857,0.834,22.34,0.689,False,0.3968,3.1003
0.0245,0.0075,43.31,5.93,1.204,1.393,32.07,0.616,False,0.1383,2.9234
0.0054,-0.0075,24.94,8.46,1.326,1.133,23.6,0.795,False,0.1057,2.1875
-0.0444,0.0086,33.67,10.09,1.347,1.36,29.49,0.713,False,0.1708,9.3227
-0.0464,-0.0046,42.73,5.09,1.437,1.344,35.85,0.635,False,0.4756,4.6155
-0.0354,0.009,28.13,11.61,1.73,0.878,27.47,0.519,False,0.3182,3.1863
-0.0055,0.0056,23.05,9.1,0.828,0.994,31.05,0.487,False,0.1615,2.6451
0.0068,-0.0099,32.57,9.84,1.085,1.325,25.07,0.75,False,0.1829,1.856
-0.0015,-0.0127,44.67,14.8,1.498,1.145,32.71,0.665,True,0.777,0.747
