Amplitude_Deg,Frequency_Hz,Start_Amp_Mult,Start_Freq_Mult,Fell,Distance_Traversed,CoT,Passed,Avg_Velocity
30.384615384615383,0.5246153846153847,1.2444444444444445,1.2444444444444445,False,1.098,0.8199,False,0.054900000000000004
30.384615384615383,0.5302564102564103,0.9111111111111112,1.011111111111111,False,0.9806,0.3788,False,0.049030000000000004
30.384615384615383,0.535897435897436,1.1333333333333333,1.3222222222222222,False,1.1526,0.6718,False,0.05763
30.384615384615383,0.5415384615384616,1.2444444444444445,0.9333333333333333,False,1.5846,0.5479,False,0.07923
30.384615384615383,0.5471794871794873,0.8,1.0888888888888888,False,0.8917,0.4283,False,0.044585
30.384615384615383,0.5528205128205128,1.0222222222222221,1.011111111111111,False,1.0915,0.5939,False,0.054575
30.384615384615383,0.5584615384615386,0.9111111111111112,0.7777777777777777,False,0.9658,0.4657,False,0.04829
30.384615384615383,0.5641025641025641,0.8,0.8555555555555555,False,1.9866,0.333,False,0.09933
30.384615384615383,0.5697435897435899,0.9111111111111112,0.9333333333333333,False,0.9137,0.585,False,0.045684999999999996
30.384615384615383,0.5753846153846154,1.8,0.7777777777777777,False,1.5736,0.406,False,0.07868
30.384615384615383,0.5810256410256411,1.6888888888888889,0.7777777777777777,False,1.0761,0.6104,False,0.053805000000000006
30.384615384615383,0.5866666666666667,1.0222222222222221,1.0888888888888888,False,1.3482,0.49,False,0.06741
30.384615384615383,0.5923076923076923,1.8,1.2444444444444445,False,1.018,0.3507,False,0.0509
30.384615384615383,0.597948717948718,1.1333333333333333,1.011111111111111,False,1.1769,0.3562,False,0.058845
30.384615384615383,0.6035897435897436,0.9111111111111112,1.0888888888888888,False,1.1142,0.5123,False,0.05571
30.384615384615383,0.6092307692307692,0.9111111111111112,1.011111111111111,False,0.7789,0.4268,False,0.038945
30.384615384615383,0.6148717948717949,0.9111111111111112,1.011111111111111,False,1.8183,0.2835,False,0.090915
30.384615384615383,0.6205128205128205,1.4666666666666668,1.2444444444444445,False,0.7891,0.3546,False,0.039455000000000004
30.384615384615383,0.6261538461538462,1.6888888888888889,1.2444444444444445,False,1.9411,0.2998,False,0.097055
30.384615384615383,0.6317948717948718,0.8,0.8555555555555555,False,1.7601,0.3529,False,0.088005
30.384615384615383,0.6374358974358975,1.1333333333333333,1.2444444444444445,False,1.0169,0.5677,False,0.050844999999999994
30.384615384615383,0.6430769230769231,1.6888888888888889,1.011111111111111,False,1.2851,0.4542,False,0.06425499999999999
30.384615384615383,0.6487179487179487,1.1333333333333333,1.011111111111111,False,1.0581,0.3757,False,0.052905
30.384615384615383,0.6543589743589744,1.1333333333333333,1.4,False,1.0723,0.5827,False,0.053615
30.384615384615383,0.66,1.2444444444444445,1.1666666666666665,False,0.8298,0.6185,False,0.04149
30.76923076923077,0.44000000000000006,1.2444444444444445,1.4,False,0.7871,0.5622,False,0.039355
30.76923076923077,0.4456410256410257,0.8,1.2444444444444445,False,0.82,0.386,False,0.040999999999999995
30.76923076923077,0.45128205128205134,1.5777777777777777,1.0888888888888888,False,1.1319,0.3878,False,0.05659499999999999
30.76923076923077,0.456923076923077,1.5777777777777777,1.3222222222222222,False,0.966,0.6193,False,0.048299999999999996
30.76923076923077,0.46256410256410263,1.5777777777777777,1.4,False,1.6315,0.3461,False,0.081575
30.76923076923077,0.4682051282051283,1.4666666666666668,0.8555555555555555,False,0.779,0.5683,False,0.03895
30.76923076923077,0.4738461538461539,0.9111111111111112,0.8555555555555555,False,0.7359,0.6013,False,0.036795
30.76923076923077,0.47948717948717956,1.2444444444444445,1.2444444444444445,False,0.942,0.533,False,0.047099999999999996
30.76923076923077,0.4851282051282052,1.6888888888888889,1.1666666666666665,False,1.2785,0.3003,False,0.063925
30.76923076923077,0.49076923076923085,1.3555555555555556,1.1666666666666665,False,0.988,0.8033,False,0.0494
30.76923076923077,0.4964102564102565,1.4666666666666668,1.4,False,0.9278,0.4254,False,0.04639
30.76923076923077,0.5020512820512821,0.9111111111111112,0.9333333333333333,False,1.0164,0.4748,False,0.05082
30.76923076923077,0.5076923076923078,1.8,0.9333333333333333,False,1.352,0.3271,False,0.06760000000000001
30.76923076923077,0.5133333333333334,1.0222222222222221,1.2444444444444445,False,1.263,0.4361,False,0.06315
30.76923076923077,0.5189743589743591,0.9111111111111112,0.8555555555555555,False,0.7726,0.5909,False,0.03863
30.76923076923077,0.5246153846153847,1.2444444444444445,1.0888888888888888,False,0.9421,0.5226,False,0.047105
30.76923076923077,0.5302564102564103,1.4666666666666668,1.1666666666666665,False,1.1133,0.5375,False,0.055665
30.76923076923077,0.535897435897436,1.4666666666666668,1.011111111111111,False,1.2189,0.5438,False,0.060945000000000006
30.76923076923077,0.5415384615384616,1.6888888888888889,1.011111111111111,False,1.4466,0.4578,False,0.07233
